Fecha,Equipo1,Q11,Q12,Q13,Q14,Puntos1,Equipo2,Q21,Q22,Q23,Q24,Puntos2,TE11,TE12,TE21,TE22
19-04-2024,Heat,34,13,35,30,112,Bulls,17,20,23,31,91
19-04-2024,Pelicans,22,32,29,22,105,Kings,24,21,29,24,98
20-04-2024,Cavaliers,33,20,20,24,97,Magic,26,15,17,25,83
20-04-2024,Timberwolves,27,34,31,28,120,Suns,28,23,21,23,95
20-04-2024,Knicks,25,33,21,32,111,76ers,34,12,36,22,104
20-04-2024,Nuggets,25,32,32,25,114,Lakers,33,27,18,25,103
21-04-2024,Celtics,26,34,31,23,114,Heat,21,24,14,35,94
21-04-2024,Clippers,34,22,31,22,109,Mavericks,22,8,34,33,97
21-04-2024,Bucks,30,39,14,26,109,Pacers,21,21,29,23,94
21-04-2024,Thunder,17,26,31,20,94,Pelicans,17,26,25,24,92
22-04-2024,Cavaliers,30,28,22,16,96,Magic,18,26,21,21,86
22-04-2024,Knicks,18,31,30,25,104,76ers,25,28,21,27,101
22-04-2024,Nuggets,24,20,25,32,101,Lakers,28,31,20,20,99
23-04-2024,Timberwolves,24,26,28,27,105,Suns,21,30,20,22,93
23-04-2024,Bucks,26,29,28,25,108,Pacers,30,30,32,33,125
23-04-2024,Clippers,19,22,25,27,93,Mavericks,23,22,20,31,96
24-04-2024,Celtics,27,34,18,22,101,Heat,28,30,27,26,111
24-04-2024,Thunder,35,28,29,32,124,Pelicans,22,28,24,18,92
25-04-2024,Magic,31,30,35,25,121,Cavaliers,21,24,16,22,83
25-04-2024,76ers,27,28,43,27,125,Knicks,29,29,27,29,114
25-04-2024,Lakers,33,20,22,30,105,Nuggets,23,26,34,29,112
26-04-2024,Pacers,39,28,23,21,121,Bucks,22,33,28,28,118,10,7,0,0
26-04-2024,Mavericks,18,36,24,23,101,Clippers,23,18,26,23,90
26-04-2024,Suns,32,21,20,36,109,Timberwolves,34,25,36,31,126
27-04-2024,Magic,22,29,37,24,112,Cavaliers,23,37,10,19,89
27-04-2024,Pelicans,19,27,23,16,85,Thunder,23,37,25,21,106
27-04-2024,Heat,12,27,22,23,84,Celtics,21,42,24,17,104
27-04-2024,Lakers,28,33,30,28,119,Nuggets,23,25,32,28,108
28-04-2024,76ers,27,22,27,16,92,Knicks,17,30,30,20,97
28-04-2024,Mavericks,16,33,29,33,111,Clippers,39,27,16,34,116
28-04-2024,Pacers,33,34,31,28,126,Bucks,33,31,21,28,113
28-04-2024,Suns,26,35,31,24,116,Timberwolves,25,31,34,32,122
29-04-2024,Heat,24,12,23,29,88,Celtics,34,19,28,21,102
29-04-2024,Pelicans,21,22,28,18,89,Thunder,21,23,26,27,97
29-04-2024,Nuggets,28,22,31,27,108,Lakers,24,29,26,27,106
30-04-2024,Knicks,17,32,21,27,106,76ers,26,17,26,28,112,9,15,0,0
30-04-2024,Cavaliers,33,15,27,29,104,Magic,23,24,23,33,103
30-04-2024,Bucks,23,30,34,28,115,Pacers,31,17,19,25,92
01-05-2024,Celtics,41,27,30,20,118,Heat,23,23,20,18,84
01-05-2024,Clippers,24,22,23,24,93,Mavericks,25,31,33,34,123
